strain	virus	gisaid_epi_isl	date	region	country	division
hCoV-19/Argentina/PAIS-A0719/2020	betacoronavirus	EPI_ISL_4404859	2020-06-23	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0778/2020	betacoronavirus	EPI_ISL_4404965	2020-06-22	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-H0166/2020	betacoronavirus	EPI_ISL_3478867	2020-06-22	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0080/2020	betacoronavirus	EPI_ISL_4291357	2020-06-20	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0079/2020	betacoronavirus	EPI_ISL_4291358	2020-06-18	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0768/2020	betacoronavirus	EPI_ISL_4404950	2020-06-16	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A1038/2020	betacoronavirus	EPI_ISL_4405707	2020-06-15	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A1029/2020	betacoronavirus	EPI_ISL_4405698	2020-06-15	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0281/2020	betacoronavirus	EPI_ISL_792356	2020-06-10	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-H0163/2020	betacoronavirus	EPI_ISL_3478839	2020-06-09	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-H0162/2020	betacoronavirus	EPI_ISL_3478904	2020-06-04	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0022/2020	betacoronavirus	EPI_ISL_792423	2020-06-03	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0021/2020	betacoronavirus	EPI_ISL_792422	2020-06-01	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0019/2020	betacoronavirus	EPI_ISL_792420	2020-06-01	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0676/2020	betacoronavirus	EPI_ISL_4404738	2020-06-01	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0017/2020	betacoronavirus	EPI_ISL_792418	2020-05-31	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0015/2020	betacoronavirus	EPI_ISL_792416	2020-05-29	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0274/2020	betacoronavirus	EPI_ISL_792352	2020-05-28	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0217/2020	betacoronavirus	EPI_ISL_792300	2020-05-27	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0014/2020	betacoronavirus	EPI_ISL_792415	2020-05-27	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0273/2020	betacoronavirus	EPI_ISL_792351	2020-05-26	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0012/2020	betacoronavirus	EPI_ISL_792413	2020-05-26	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0313/2020	betacoronavirus	EPI_ISL_792383	2020-05-25	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0314/2020	betacoronavirus	EPI_ISL_792384	2020-05-25	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0305/2020	betacoronavirus	EPI_ISL_792376	2020-05-25	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0307/2020	betacoronavirus	EPI_ISL_792378	2020-05-25	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0302/2020	betacoronavirus	EPI_ISL_792374	2020-05-22	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0011/2020	betacoronavirus	EPI_ISL_792412	2020-05-22	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0228/2020	betacoronavirus	EPI_ISL_792309	2020-05-20	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0317/2020	betacoronavirus	EPI_ISL_792387	2020-05-19	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0326/2020	betacoronavirus	EPI_ISL_792396	2020-05-19	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0311/2020	betacoronavirus	EPI_ISL_792382	2020-05-19	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0227/2020	betacoronavirus	EPI_ISL_792308	2020-05-18	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0304/2020	betacoronavirus	EPI_ISL_792375	2020-05-15	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0243/2020	betacoronavirus	EPI_ISL_792323	2020-05-14	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0324/2020	betacoronavirus	EPI_ISL_792394	2020-05-11	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0007/2020	betacoronavirus	EPI_ISL_792408	2020-05-10	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0006/2020	betacoronavirus	EPI_ISL_792407	2020-05-08	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0323/2020	betacoronavirus	EPI_ISL_792393	2020-05-07	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0265/2020	betacoronavirus	EPI_ISL_792344	2020-05-06	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-C0004/2020	betacoronavirus	EPI_ISL_792405	2020-05-05	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0233/2020	betacoronavirus	EPI_ISL_792314	2020-04-30	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0319/2020	betacoronavirus	EPI_ISL_792389	2020-04-28	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0232/2020	betacoronavirus	EPI_ISL_792313	2020-04-27	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0245/2020	betacoronavirus	EPI_ISL_792325	2020-04-25	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0244/2020	betacoronavirus	EPI_ISL_792324	2020-04-25	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0254/2020	betacoronavirus	EPI_ISL_792334	2020-04-24	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0251/2020	betacoronavirus	EPI_ISL_792331	2020-04-23	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0208/2020	betacoronavirus	EPI_ISL_792293	2020-04-22	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0209/2020	betacoronavirus	EPI_ISL_792294	2020-04-22	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0249/2020	betacoronavirus	EPI_ISL_792329	2020-04-15	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0247/2020	betacoronavirus	EPI_ISL_792327	2020-04-13	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0291/2020	betacoronavirus	EPI_ISL_792365	2020-04-09	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0014/2020	betacoronavirus	EPI_ISL_430805	2020-04-01	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-A0011/2020	betacoronavirus	EPI_ISL_430802	2020-03-31	South America	Argentina	Buenos Aires
hCoV-19/Argentina/PAIS-E0131/2020	betacoronavirus	EPI_ISL_1395946	2020-06-24	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-C0041/2020	betacoronavirus	EPI_ISL_792442	2020-06-22	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-E0129/2020	betacoronavirus	EPI_ISL_1395950	2020-06-17	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-E0128/2020	betacoronavirus	EPI_ISL_1395949	2020-06-13	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-C0037/2020	betacoronavirus	EPI_ISL_792438	2020-05-23	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-C0036/2020	betacoronavirus	EPI_ISL_792437	2020-05-22	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-C0030/2020	betacoronavirus	EPI_ISL_792431	2020-05-18	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-C0028/2020	betacoronavirus	EPI_ISL_792429	2020-05-14	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-C0025/2020	betacoronavirus	EPI_ISL_792426	2020-05-05	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-E0010/2020	betacoronavirus	EPI_ISL_792508	2020-04-23	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-E0014/2020	betacoronavirus	EPI_ISL_792511	2020-04-17	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-E0005/2020	betacoronavirus	EPI_ISL_792504	2020-04-16	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-E0004/2020	betacoronavirus	EPI_ISL_792503	2020-04-11	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-E0002/2020	betacoronavirus	EPI_ISL_792501	2020-04-10	South America	Argentina	Chaco
hCoV-19/Argentina/PAIS-E0114/2020	betacoronavirus	EPI_ISL_1395826	2020-03-10	South America	Argentina	Chaco
hCoV-19/Argentina/INEI023720/2020	betacoronavirus	EPI_ISL_849285	2020-06-29	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI041592/2020	betacoronavirus	EPI_ISL_849316	2020-06-26	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI023371/2020	betacoronavirus	EPI_ISL_849280	2020-06-26	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0435/2020	betacoronavirus	EPI_ISL_1396234	2020-06-24	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI040157/2020	betacoronavirus	EPI_ISL_849313	2020-06-19	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI040154/2020	betacoronavirus	EPI_ISL_849321	2020-06-19	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI022085/2020	betacoronavirus	EPI_ISL_849305	2020-06-18	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI019568/2020	betacoronavirus	EPI_ISL_849295	2020-06-17	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI021840/2020	betacoronavirus	EPI_ISL_849296	2020-06-17	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0434/2020	betacoronavirus	EPI_ISL_1396233	2020-06-16	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0433/2020	betacoronavirus	EPI_ISL_1396232	2020-06-16	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-B0013/2020	betacoronavirus	EPI_ISL_1396253	2020-06-15	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI018812/2020	betacoronavirus	EPI_ISL_849299	2020-06-14	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0432/2020	betacoronavirus	EPI_ISL_1396231	2020-06-14	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-B0009/2020	betacoronavirus	EPI_ISL_1396249	2020-06-13	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-B0008/2020	betacoronavirus	EPI_ISL_1396248	2020-06-09	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI017138/2020	betacoronavirus	EPI_ISL_849286	2020-06-08	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0429/2020	betacoronavirus	EPI_ISL_1396228	2020-06-05	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-B0006/2020	betacoronavirus	EPI_ISL_1396246	2020-06-05	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0428/2020	betacoronavirus	EPI_ISL_1396227	2020-06-02	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-B0002/2020	betacoronavirus	EPI_ISL_792398	2020-05-28	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-B0001/2020	betacoronavirus	EPI_ISL_792397	2020-05-28	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0224/2020	betacoronavirus	EPI_ISL_792305	2020-05-26	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI013809/2020	betacoronavirus	EPI_ISL_849184	2020-05-23	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI013657/2020	betacoronavirus	EPI_ISL_849204	2020-05-22	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0196/2020	betacoronavirus	EPI_ISL_792285	2020-05-21	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI013441/2020	betacoronavirus	EPI_ISL_849203	2020-05-21	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI013400/2020	betacoronavirus	EPI_ISL_849201	2020-05-21	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0181/2020	betacoronavirus	EPI_ISL_792270	2020-05-20	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0188/2020	betacoronavirus	EPI_ISL_792277	2020-05-20	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0186/2020	betacoronavirus	EPI_ISL_792275	2020-05-20	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI013198/2020	betacoronavirus	EPI_ISL_849181	2020-05-20	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/Heritas_HG018/2020	betacoronavirus	EPI_ISL_476571	2020-05-19	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0174/2020	betacoronavirus	EPI_ISL_792263	2020-05-19	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0216/2020	betacoronavirus	EPI_ISL_792299	2020-05-19	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0172/2020	betacoronavirus	EPI_ISL_792261	2020-05-19	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0165/2020	betacoronavirus	EPI_ISL_792254	2020-05-19	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI013075/2020	betacoronavirus	EPI_ISL_849180	2020-05-19	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0163/2020	betacoronavirus	EPI_ISL_792252	2020-05-18	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0162/2020	betacoronavirus	EPI_ISL_792251	2020-05-18	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI012797/2020	betacoronavirus	EPI_ISL_849154	2020-05-18	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0157/2020	betacoronavirus	EPI_ISL_792246	2020-05-17	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0155/2020	betacoronavirus	EPI_ISL_792244	2020-05-17	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0153/2020	betacoronavirus	EPI_ISL_792242	2020-05-16	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0149/2020	betacoronavirus	EPI_ISL_792238	2020-05-16	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI012559/2020	betacoronavirus	EPI_ISL_849174	2020-05-16	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0144/2020	betacoronavirus	EPI_ISL_792233	2020-05-15	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI012369/2020	betacoronavirus	EPI_ISL_849172	2020-05-15	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0136/2020	betacoronavirus	EPI_ISL_792225	2020-05-14	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI012203/2020	betacoronavirus	EPI_ISL_849170	2020-05-14	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0132/2020	betacoronavirus	EPI_ISL_792221	2020-05-13	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0129/2020	betacoronavirus	EPI_ISL_792218	2020-05-13	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0122/2020	betacoronavirus	EPI_ISL_792211	2020-05-12	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0124/2020	betacoronavirus	EPI_ISL_792213	2020-05-12	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0117/2020	betacoronavirus	EPI_ISL_792206	2020-05-11	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0118/2020	betacoronavirus	EPI_ISL_792207	2020-05-11	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI011800/2020	betacoronavirus	EPI_ISL_849151	2020-05-11	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI011808/2020	betacoronavirus	EPI_ISL_849194	2020-05-11	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0111/2020	betacoronavirus	EPI_ISL_792200	2020-05-10	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0112/2020	betacoronavirus	EPI_ISL_792201	2020-05-10	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0109/2020	betacoronavirus	EPI_ISL_792198	2020-05-10	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0106/2020	betacoronavirus	EPI_ISL_792195	2020-05-09	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0102/2020	betacoronavirus	EPI_ISL_792191	2020-05-09	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0103/2020	betacoronavirus	EPI_ISL_792192	2020-05-09	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0098/2020	betacoronavirus	EPI_ISL_792187	2020-05-09	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI011618/2020	betacoronavirus	EPI_ISL_849192	2020-05-09	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0095/2020	betacoronavirus	EPI_ISL_792184	2020-05-08	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0094/2020	betacoronavirus	EPI_ISL_792183	2020-05-08	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI011534/2020	betacoronavirus	EPI_ISL_849161	2020-05-08	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI011535/2020	betacoronavirus	EPI_ISL_849162	2020-05-08	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI011516/2020	betacoronavirus	EPI_ISL_849191	2020-05-08	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0093/2020	betacoronavirus	EPI_ISL_792182	2020-05-07	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0092/2020	betacoronavirus	EPI_ISL_792181	2020-05-07	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0091/2020	betacoronavirus	EPI_ISL_792180	2020-05-07	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0090/2020	betacoronavirus	EPI_ISL_792179	2020-05-07	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0199/2020	betacoronavirus	EPI_ISL_792287	2020-05-07	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI011302/2020	betacoronavirus	EPI_ISL_849157	2020-05-07	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI011304/2020	betacoronavirus	EPI_ISL_849158	2020-05-07	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI011343/2020	betacoronavirus	EPI_ISL_849190	2020-05-07	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI011213/2020	betacoronavirus	EPI_ISL_849189	2020-05-06	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0087/2020	betacoronavirus	EPI_ISL_792176	2020-05-05	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0086/2020	betacoronavirus	EPI_ISL_792175	2020-05-05	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0088/2020	betacoronavirus	EPI_ISL_792177	2020-05-05	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0083/2020	betacoronavirus	EPI_ISL_792172	2020-05-04	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0085/2020	betacoronavirus	EPI_ISL_792174	2020-05-04	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0082/2020	betacoronavirus	EPI_ISL_792171	2020-05-04	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0076/2020	betacoronavirus	EPI_ISL_792165	2020-05-04	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0073/2020	betacoronavirus	EPI_ISL_792162	2020-05-04	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0075/2020	betacoronavirus	EPI_ISL_792164	2020-05-04	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0074/2020	betacoronavirus	EPI_ISL_792163	2020-05-04	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0077/2020	betacoronavirus	EPI_ISL_792166	2020-05-04	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0064/2020	betacoronavirus	EPI_ISL_792153	2020-05-03	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0065/2020	betacoronavirus	EPI_ISL_792154	2020-05-03	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0070/2020	betacoronavirus	EPI_ISL_792159	2020-05-03	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0067/2020	betacoronavirus	EPI_ISL_792156	2020-05-03	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0072/2020	betacoronavirus	EPI_ISL_792161	2020-05-03	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0061/2020	betacoronavirus	EPI_ISL_792150	2020-05-03	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0066/2020	betacoronavirus	EPI_ISL_792155	2020-05-03	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0063/2020	betacoronavirus	EPI_ISL_792152	2020-05-03	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0057/2020	betacoronavirus	EPI_ISL_792146	2020-05-02	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0058/2020	betacoronavirus	EPI_ISL_792147	2020-05-02	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0197/2020	betacoronavirus	EPI_ISL_792286	2020-05-01	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0055/2020	betacoronavirus	EPI_ISL_792144	2020-05-01	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0053/2020	betacoronavirus	EPI_ISL_792142	2020-05-01	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0052/2020	betacoronavirus	EPI_ISL_792141	2020-05-01	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0051/2020	betacoronavirus	EPI_ISL_792140	2020-05-01	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0045/2020	betacoronavirus	EPI_ISL_792134	2020-04-29	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0047/2020	betacoronavirus	EPI_ISL_792136	2020-04-29	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0037/2020	betacoronavirus	EPI_ISL_792126	2020-04-26	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0036/2020	betacoronavirus	EPI_ISL_792125	2020-04-26	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0039/2020	betacoronavirus	EPI_ISL_792128	2020-04-26	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0032/2020	betacoronavirus	EPI_ISL_792121	2020-04-24	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/Heritas_HG001/2020	betacoronavirus	EPI_ISL_476496	2020-04-22	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0025/2020	betacoronavirus	EPI_ISL_430816	2020-04-18	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0026/2020	betacoronavirus	EPI_ISL_430817	2020-04-18	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/INEI006559/2020	betacoronavirus	EPI_ISL_849185	2020-04-13	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0021/2020	betacoronavirus	EPI_ISL_430812	2020-04-11	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0020/2020	betacoronavirus	EPI_ISL_430811	2020-04-11	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0019/2020	betacoronavirus	EPI_ISL_430810	2020-04-07	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0018/2020	betacoronavirus	EPI_ISL_430809	2020-04-04	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0009/2020	betacoronavirus	EPI_ISL_430801	2020-03-31	South America	Argentina	Ciudad Autonoma de Buenos Aires
hCoV-19/Argentina/PAIS-A0010/2020	betacoronavirus	EPI_ISL_793013	2020-03-31	South America	Argentina	Ciudad Autonoma de Buenos Aires
